Date,ID,Tweets,Party
Sun Nov 04 17:55:35 +0000 2018,queenmumkp,SAVE MISSOURI FROM CLAIRE LIFETIME POLITICIAN SAVE NEW YORK FRON KIRSTEN GILLIBRAND SAVE AMERICA VOTE RED https://t.co/lLroDSWfrm,
Sun Nov 04 17:55:05 +0000 2018,cabinloon,@awelab1956 @CarrollDSander3 @flwrpwr1969 @Logic_Triumphs @realDonaldTrump @alfranken Gillibrand herself said it wa… https://t.co/1QPONqd8Jl,
Sun Nov 04 17:48:08 +0000 2018,ddiaztechie1,@SenGillibrand I like the message but is it true? She never received PAC money. Trump lies a lot let's check. You h… https://t.co/XQbjIbgvTo,
Sun Nov 04 17:45:01 +0000 2018,jjpalmer2015,"RT @drafthorse2012: Hey Gillibrand,
When are you going to write an apology to
Justice Kavanaugh? https://t.co/t9nFmCBKuz",
Sun Nov 04 17:35:02 +0000 2018,rotepille,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/5abaCWhcFF,
Sun Nov 04 17:33:57 +0000 2018,DeclanMHurley,"A note on NY, where @marcmolinaro has 36% of the vote, Cuomo 49%. This gap is small compared to the 23-point gap be… https://t.co/OZZabjPs7u",
Sun Nov 04 17:33:08 +0000 2018,BoobsDarth,"@TimW3811 @AltScalesOfJust @realDonaldTrump Here’s a list 

Gillibrand
Warren
Pocan
Jayapal
Blumenauer
McGovern
Vel… https://t.co/RJJHsOgryn",
Sun Nov 04 17:31:35 +0000 2018,onedankmom,@notcapnamerica *stares in Kirsten Gillibrand’s colorist*,
Sun Nov 04 17:29:20 +0000 2018,keystoneskiing,@SenGillibrand Gillibrand speaks with forked tongue. She needs to go,
Sun Nov 04 17:25:42 +0000 2018,NetworkGuyUS,"@SenGillibrand Ah yes, Kirsten Gillibrand friend to illegals and pedophiles &amp; enemy of patriots and the U.S. Consti… https://t.co/sTMfOgvZRj",
Sun Nov 04 17:25:37 +0000 2018,MAINEGIRL48AOL1,"@joelpollak @BreitbartNews If THIS WOMEN is an example of what Kirsten Gillibrand wants in office, I'll  stick with… https://t.co/mSk4OZkeMv",
Sun Nov 04 17:24:18 +0000 2018,drafthorse2012,"Hey Gillibrand,
When are you going to write an apology to
Justice Kavanaugh? https://t.co/t9nFmCBKuz",
Sun Nov 04 17:20:11 +0000 2018,NaturegirlRaine,@SenGillibrand Comrade Gillibrand. Why do NYers vote communist.  What a waste.,
Sun Nov 04 17:18:08 +0000 2018,ClingingToGod,"RT @dmills3710: Sen. Gillibrand’s Father, Doug Rutnik, Employed By NXIVM Sex Cult, Gillibrand’s Stepmother Was Active Member: Keith Raniere…",
Sun Nov 04 17:06:32 +0000 2018,BigsbyGroom,"@SenGillibrand You took more money from Goldman Sachs in 2011 and 2012 than any sitting member of Congress. 
https://t.co/6VvC6KZsI2",
Sun Nov 04 17:06:23 +0000 2018,CConnyers,"@SenGillibrand Will NEVER vote for Gillibrand after the Franken hit job.

Carry on.",
Sun Nov 04 17:04:03 +0000 2018,pheonix42024,"@adamcbest @JeriLRyan Planned parenthood donations to dems this cycle senate

Sherrod brown Oh  31k
Claire McCaskil… https://t.co/dhhissLqXP",
Sun Nov 04 17:00:18 +0000 2018,UnitedDemsOC,"""She's a voice for hardworking families in this district who do not see Washington working for them,"" she said.... https://t.co/JcujKJIgos",
Sun Nov 04 17:00:18 +0000 2018,DustinCzarny,"""She's a voice for hardworking families in this district who do not see Washington working for them,"" she said.... https://t.co/oiZY8QtbNL",
Sun Nov 04 16:49:51 +0000 2018,hermit_suburban,"RT @Socia1Reluctant: Dianne Feinstein 
Kamala Harris
Elizabeth Warren
Bob Menendez
Cory Booker
Mazie Hirono
Chuck Schumer 
Kirsten Gillibra…",
Sun Nov 04 16:45:45 +0000 2018,piedmontian11,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/mVGnLSR2K3,
Sun Nov 04 16:35:47 +0000 2018,B3thMC,Just discovered there's a Fake Account for Sen Gillibrand. It looks just like the real one and it's gaining followe… https://t.co/sWKN6aH2NE,
Sun Nov 04 16:34:48 +0000 2018,AllIn4DJT,"@marcmolinaro Please save NY. 
Between Cuomo, Deblasio, Gillibrand and Schumer, we are turning into a liberal shithole.",
Sun Nov 04 16:33:53 +0000 2018,MeadowgirlM,"#SundayThoughts  Not sure which is worse. Chuckie for calling the woman trying to do her job, probably tired from s… https://t.co/Vsgnahu2Ct",
Sun Nov 04 16:33:36 +0000 2018,Graniteprof,"RT @richardmskinner: Biden &amp; Booker have been more visible on the trail, Warren, Gillibrand &amp; Harris more vocal in opposition to Trump.  Ob…",
Sun Nov 04 16:31:10 +0000 2018,richardmskinner,"Biden &amp; Booker have been more visible on the trail, Warren, Gillibrand &amp; Harris more vocal in opposition to Trump.… https://t.co/Xc6Hy18hqc",
Sun Nov 04 16:30:44 +0000 2018,sedonasurf,RT @EddieDonovan: 'I'm Not Leaving This Fight': Retiring ICE Director Hits Back at NY Dems for Unfairly Vilifying ICE https://t.co/k5CF8yuq…,
Sun Nov 04 16:28:53 +0000 2018,Firebird8035,RT @woodgategroup: @SenGillibrand Gillibrand:'Give now to help Claire win!' Awful hard to give to anyone after your team illegally seized o…,
Sun Nov 04 16:22:28 +0000 2018,JuanFdoLondono,RT @daniInnerarity: David Axelrod: Democrats Are Walking Into Trump’s Trap https://t.co/GwMnRr77x4 vía @politicomag,
Sun Nov 04 16:20:03 +0000 2018,BoboMarilyn,RT @BoboMarilyn: @anne_crotzer @POTUS @realDonaldTrump Gillibrand has shown this election isn't about AMERICANS  but people like her fighti…,
Sun Nov 04 16:16:41 +0000 2018,KimWelzenbach,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/uMsYEQ2tfz,
Sun Nov 04 16:14:16 +0000 2018,jtblogs,RT @jtblogs: EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Weinstein Consi…,
Sun Nov 04 15:59:31 +0000 2018,libby101a,Sorry but ole Axelrod has got it all wrong. It doesn’t matter how they go about it. Trump will win because he’s get… https://t.co/xcyBu4NRxd,
Sun Nov 04 15:59:28 +0000 2018,daniInnerarity,David Axelrod: Democrats Are Walking Into Trump’s Trap https://t.co/GwMnRr77x4 vía @politicomag,
Sun Nov 04 15:59:20 +0000 2018,XeniaBusse,RT @ampique: Val la pena https://t.co/ouMj60TYmg,
Sun Nov 04 15:58:04 +0000 2018,kaymarierob,‘Fire Gillibrand’? A Trump-Backed G.O.P. Senate Candidate Makes the Case https://t.co/dcK4PjCeCN,
Sun Nov 04 15:56:02 +0000 2018,ampique,Val la pena https://t.co/ouMj60TYmg,
Sun Nov 04 15:48:38 +0000 2018,madamebyll,@Easterngirl77 @scenic_route819 @stevemitch126 @JillFilipovic Only supplicants of the Alt-Right get the okay from T… https://t.co/IlH4bBB8hz,
Sun Nov 04 15:48:37 +0000 2018,LILLYZ720,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/fjPxHuOC33,
Sun Nov 04 15:47:38 +0000 2018,VesileGunes86,"RT @CillizzaCNN: Our new 2020 top 10:

10, Bloomberg
9. Bullock
8. Garcetti
7. Booker
6. Klobuchar
5. Bernie
4. Gillibrand
3. Bide
2. Kamal…",
Sun Nov 04 15:42:13 +0000 2018,Theshells1111,@jodimb25 @CJNWrites @MSNBC @NBCNews @WSJ @GOP I gave you three names = google - they are 100 percent open borders… https://t.co/xH0DgtK5St,
Sun Nov 04 15:33:05 +0000 2018,IamTaylorRaynor,Kirsten Gillibrand  Thank you for listening and caring about the District.  I know there are going to be some treme… https://t.co/aBntSlx6IC,
Sun Nov 04 15:30:41 +0000 2018,Mimi_Florida,"NEW YORK - Be informed &amp; Check your reps voting record against their words!

#TheGreatAwakening
#NewYorkVote 🇺🇸

Se… https://t.co/44aYOzER73",
Sun Nov 04 15:21:43 +0000 2018,veronicalderon,Esta entrevista con David Axelrod es fascinante. Por qué todos han caído en la trampa de Trump (y porqué seguirá ga… https://t.co/XRtaubP3cX,
Sun Nov 04 15:17:43 +0000 2018,NYROYALKING,Common sense. However if he is even more conservative then a republican he is valueless since his party will not gi… https://t.co/FMBezrDo3D,
Sun Nov 04 15:15:49 +0000 2018,CCCobb411,@SenGillibrand Better not come knocking at my door. I have no trespassing signs up this time of year. We need to do… https://t.co/1qVrNO0e4k,
Sun Nov 04 15:15:34 +0000 2018,azgirlkim,@SenGillibrand It's a red wave and  Gillibrand your next!,
Sun Nov 04 15:08:27 +0000 2018,actualpajomac,"@AmericanThinker Sinema would be another rubberstamp socialist the likes of  Pat Murray, Kristen Gillibrand, Elizab… https://t.co/OoNhhn1SN5",
Sun Nov 04 15:03:35 +0000 2018,maniseku,"RT @dustbunny_19: #NXIVM Has Sen. Kirsten Gillibrand addressed her family's involvement with them? He father,  Doug Rutnik, well connected…",
Sun Nov 04 15:01:39 +0000 2018,LynnDempsey16,@dianaarcher_14 @PodSaveAmerica @JoeBiden Agree about Gillibrand. I’m still pissed she hung Frankenstein out to dry… https://t.co/aCeMKsfiw7,
Sun Nov 04 14:58:43 +0000 2018,TOHDC,"RT @Kevan_Abrahams: Great lunch with Senator Gillibrand, Chairman Jacobs and Assembly Candidate Taylor Raynor. https://t.co/6XdDqRtbxj",
Sun Nov 04 14:57:35 +0000 2018,Donnaisom10,RT @Bluesman57: EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Weinstein Co…,
Sun Nov 04 14:56:05 +0000 2018,RonMargeson,NY don't vote for Kristen Gillibrand for Senate a Schumer puppet and other Dem's who will resist America First Agen… https://t.co/naOW15KbL7,
Sun Nov 04 14:53:46 +0000 2018,jtrailroad,sen Gillibrand had no problem asking private citizen Trump for money for her re-ellection but Trump as president she wont support him,
Sun Nov 04 14:53:33 +0000 2018,TCBTexas1,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/H2ubAoz7Xz,
Sun Nov 04 14:50:16 +0000 2018,lawyer4laws,"💥**Would Guilum call for Florida to be Sanctuary State?
Democrats want to eliminate ICE . . and protect Illegal Ali… https://t.co/AzqJqg6XpJ",
Sun Nov 04 14:40:37 +0000 2018,DonCSage,"Every sportsman, gun owner and American needs to vote Republican on Tuesday. We gun owners are 4 Million strong in… https://t.co/wjrfD10B6M",
Sun Nov 04 14:25:47 +0000 2018,UnasVeritas,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/xrkGWW7iwL,
Sun Nov 04 14:23:23 +0000 2018,GoldnemovesGold,"@SenGillibrand Kirsten Gillibrand has not denounced her relationship with Linda Sarsour, Anti Semitic Activist. https://t.co/Riw4ZoLaNl",
Sun Nov 04 14:22:51 +0000 2018,peachyking501,RT @blackbartohio: EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Weinstein…,
Sun Nov 04 14:18:36 +0000 2018,Statistikhengst,"@realDonaldTrump Siena (w/o NYT) poll of NY: Dems leading everywhere, but check the women's vote, IND, black/latino… https://t.co/AHQdjeb1CI",
Sun Nov 04 14:15:38 +0000 2018,NancyCastleman,"RT @NancyCastleman: Another thing that bothers me about this oh-so-NYMag piece is that it totally ignores #NY19 progressive history, on bot…",
Sun Nov 04 14:14:20 +0000 2018,Socia1Reluctant,"Dianne Feinstein 
Kamala Harris
Elizabeth Warren
Bob Menendez
Cory Booker
Mazie Hirono
Chuck Schumer 
Kirsten Gilli… https://t.co/AbDJGifNbm",
Sun Nov 04 14:06:26 +0000 2018,seagypsy1957,Yep. DemocRATS create chaos and loss in their policies. Socialism will destroy even further.GET SMART! Vote RED❣️❣️… https://t.co/e9rPJTSrJM,
Sun Nov 04 14:05:26 +0000 2018,awelab1956,"@CarrollDSander3 @flwrpwr1969 @Logic_Triumphs @realDonaldTrump @alfranken No it wasn't. We SHALL disagree here. 
I… https://t.co/aC295CcEOa",
Sun Nov 04 14:04:43 +0000 2018,KatieTa57380065,@Dougs1978 @robjh1 @BreitbartNews Gillibrand is the same fraud as Hillary Clinton....they spew out anything to get… https://t.co/G2xpCeT9sY,
Sun Nov 04 14:04:18 +0000 2018,AbbeyH202,"Lol, Gillibrand failed in their first debate so she refused to show up for this one! Farley does it anyways! Frley… https://t.co/TCTwxajwAa",
Sun Nov 04 13:59:46 +0000 2018,Soccermom7981,RT @CarolRelief: @SenGillibrand I am going to make a difference by not voting for Gillibrand.,
Sun Nov 04 13:55:14 +0000 2018,gramich,"Eu diria que dentre os democratas, os nomes mais fortes no momento para as primárias são: Gillibrand, O'Rourke e Kamala Harris.",
Sun Nov 04 13:53:47 +0000 2018,katekahn1,"Al Franken would still be in the Senate - &amp; still be our very best, smartest, most progressive senator - if Kirsten… https://t.co/1rfkRxKjVR",
Sun Nov 04 13:53:24 +0000 2018,TamaniniRichard,@SenGillibrand Gillibrand must have taken a poll and found she should support legal pot and so she is now for it. S… https://t.co/mf9kXbvhxY,
Sun Nov 04 13:48:41 +0000 2018,mediacritizer,"Not likely to happen but Kirsten GIllibrand and Kamala Harris must be confronted by reporters.

They said we MUST '… https://t.co/TUEN8m4t0F",
Sun Nov 04 13:48:37 +0000 2018,hillcreststjohn,"Proud to be endorsed by:
Barack Obama
Barbara Mikulski 
Ben Cardin
Bernie Sanders
Chris Van Hollen
Cory Booker
Eliz… https://t.co/EsbB5gLy2W",
Sun Nov 04 13:44:00 +0000 2018,bluesbuster11,RT @coopr33: @LoufromCT @TaranaBurke Gillibrand's father was a lawyer for the NXIM sex cult. Nothing to see her folks. Move right along.,
Sun Nov 04 13:43:09 +0000 2018,thmsm74,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/2iIpDqD1eB,
Sun Nov 04 13:40:14 +0000 2018,warbilton,"I want a women in the TOP SPOT‼️ 

There are several brilliant women who are ready for the task, Harris, Warren, Gi… https://t.co/soWTlmpwoF",
Sun Nov 04 13:39:05 +0000 2018,tightlineszamp,RT @cmiller69: @SenGillibrand https://t.co/Y2rNnJxZeh  Remeber when  Chuck Schumer and Kirsten Gillibrand pulled strings to help an Indian…,
Sun Nov 04 13:29:11 +0000 2018,letgobestill,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/BmrfCLu3nO,
Sun Nov 04 13:19:40 +0000 2018,DEFoster,RT @DJTsavesAmerica: @TheWantedEmcees @BetteMidler @HillaryClinton @KevinSpacey @ClintonFdn @CoryBooker @allisonmack @NancyPelosi Have to w…,
Sun Nov 04 13:18:27 +0000 2018,blackbartohio,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/4O6fgEsRFI,
Sun Nov 04 13:17:03 +0000 2018,TFulmor,"@SenGillibrand Gillibrand wants to abolish ICE. Mob rule. 'FREE' stuff for everyone. Taxes, Taxes, Taxes....does sh… https://t.co/gsl3A879H3",
Sun Nov 04 13:13:22 +0000 2018,CarolRelief,@SenGillibrand I am going to make a difference by not voting for Gillibrand.,
Sun Nov 04 13:13:11 +0000 2018,asyoureadthis,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/LNchL2EumU,
Sun Nov 04 13:10:04 +0000 2018,votetrump77,"RT @VinceD11566: @SenGillibrand Gillibrand you’re a Con Artist!
Vote Republican!
@CheleFarley fo US Senate NY",
Sun Nov 04 13:08:47 +0000 2018,mtbackpackrk,"RT @reubing: @UniteVoteRed @DDbeyork @CheleFarley Farley is fantastic!
Vote Gillibrand out!",
Sun Nov 04 13:05:09 +0000 2018,GPG4865,@thebuffalonews @DandC @NiagaraFallsUSA It appears that Cuomo and Gillibrand have ignored the needs of upstate NY f… https://t.co/5ztZh9gFdC,
Sun Nov 04 13:04:47 +0000 2018,Jarrod_Delport,"“By running, you're making that commitment that says, 'I'm dedicating myself to public service.' Win or lose, you'r… https://t.co/ZnkXeysa7L",
Sun Nov 04 13:00:17 +0000 2018,sayacully,@A_Joseph1616 @DatD16 @joshpuls https://t.co/UElStPGT20,
Sun Nov 04 12:54:19 +0000 2018,ultraHD2016,"Gillibrand got her job with no qualifications, and it shows. https://t.co/FFnGd0uyYl",
Sun Nov 04 12:51:22 +0000 2018,wisecc1,RT @Kodie2038Donna: This great lady is running against Gillibrand! What's to think about? #FireGillibrand and #VoteRedToSaveAmerica https:/…,
Sun Nov 04 12:49:14 +0000 2018,Kodie2038Donna,This great lady is running against Gillibrand! What's to think about? #FireGillibrand and #VoteRedToSaveAmerica https://t.co/3oH1opW6KC,
Sun Nov 04 12:48:44 +0000 2018,dianaarcher_14,@LynnDempsey16 @PodSaveAmerica @JoeBiden Kamala Harris is  the name I hear floated.  I'm still watching.  She is we… https://t.co/nK2sxLZCvX,
Sun Nov 04 12:45:50 +0000 2018,Sunny_Harrison1,@doctorow @r_gillibrand relevant to your interests,
Sun Nov 04 12:45:12 +0000 2018,Herhealthynews,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/n4zSdLp0Vi,
Sun Nov 04 12:44:27 +0000 2018,lynnirvin1,"Elected officials lying under oath need to be gone without Any benefits, no different than  a military  dishonorabl… https://t.co/mXuneG7B1G",
Sun Nov 04 12:40:31 +0000 2018,Tobizoid,@BuckSexton Well the only reason Don Lemon isn’t a registered Democrat is because the party now controlled by the l… https://t.co/whvhnmtBNp,
Sun Nov 04 12:39:35 +0000 2018,KenASchneider,@SenGillibrand https://t.co/kajH24pW2I,
Sun Nov 04 12:36:30 +0000 2018,EdBaker3000,"Democrats O’Rourke, Harris and Gillibrand Spend Most on Twitter Ads https://t.co/4WE2RGKwkR",
Sun Nov 04 12:26:54 +0000 2018,Nbb26414033x,RT @SarahJames1955: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Weinstein Consiglie…,
Sun Nov 04 12:26:37 +0000 2018,mcrae_lynn,"RT @asyoureadthis: Partial list of clearly anti-Jew racist and antisemitic candidates.  Voting for these folks is supporting racism

Kristi…",
Sun Nov 04 12:25:18 +0000 2018,Shutterbug653,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/nmUWvIK2BU,
Sun Nov 04 12:21:02 +0000 2018,Dougs1978,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/N8gpVKaC9Q,
Sun Nov 04 12:15:28 +0000 2018,jbwallace,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/nJVM6UhmZc,
Sun Nov 04 12:11:17 +0000 2018,coopr33,@LoufromCT @TaranaBurke Gillibrand's father was a lawyer for the NXIM sex cult. Nothing to see her folks. Move right along.,
Sun Nov 04 12:08:45 +0000 2018,MichelleHaessl2,"RT @ShawnScanlon3: @ChuckCallesto @FoguthEric Can't wait! Will he be the face of the democrats? Sit back and watch! As Booker, Warren, Harr…",
Sun Nov 04 12:02:22 +0000 2018,jt7576,@AnnaBD20 Gillibrand a Cuomo partner in Corruption will not return that money &amp; was no &amp; will never be a Me Too bac… https://t.co/GouaIpUm6v,
Sun Nov 04 11:57:59 +0000 2018,MarkMgen6262,"@SenGillibrand Hey Gillibrand, have you ever had an original thought? Do the liberal loons and the DNC send you a d… https://t.co/jE6Tdf1Qkd",
Sun Nov 04 11:57:22 +0000 2018,LoufromCT,"1/3
.@TaranaBurke #MeToo
https://t.co/JWIX3hXXJo",
Sun Nov 04 11:56:41 +0000 2018,HUGAFLOWER,David Axelrod: Democrats Are Walking Into Trump’s Trap https://t.co/lyApXMJk84,
Sun Nov 04 11:52:10 +0000 2018,ShawnScanlon3,"@ChuckCallesto @FoguthEric Can't wait! Will he be the face of the democrats? Sit back and watch! As Booker, Warren,… https://t.co/jVcAMITUv7",
Sun Nov 04 11:50:43 +0000 2018,SarahJames1955,Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Weinstein Consi… https://t.co/8QfwMUwgNu,
Sun Nov 04 11:46:22 +0000 2018,plkarter,@BobMenendezNJ @Joe_D_EssexExec A Democratic majority it means the nation will spend the next two years hearing fro… https://t.co/bOSgZBTKiP,
Sun Nov 04 11:45:29 +0000 2018,GowanPat,@SenGillibrand Gillibrand’s friends! https://t.co/7ALhc8YTxu,
Sun Nov 04 11:25:21 +0000 2018,COCOXOXO007,"'No evidence' to back Kavanaugh accusers' claims, Senate panel's report on FBI probe finds

https://t.co/Reg1HXD8Ms… https://t.co/JspHCcaRBd",
Sun Nov 04 11:12:17 +0000 2018,yokoke2014,@luckymee22 @usofawake @vacavillesabra This is the original photo of Clinton and Sen Kristin Gillibrand. The one wi… https://t.co/mL0scYFmAX,
Sun Nov 04 11:10:24 +0000 2018,quoteallthethin,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/zAkxzhd9M7,
Sun Nov 04 10:58:24 +0000 2018,DanielMyers76,@kathyG86 @blanksjh80 @NorthBankNorman @PreetBharara @reginaw50361 @BetoORourke Gillibrand and Schumer here.  I sent Beto money too!,
Sun Nov 04 10:55:10 +0000 2018,sher308,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/c1TzWnUufu,
Sun Nov 04 10:51:24 +0000 2018,patriciar1946,@mimilikesbeer @TrumpWarriorZ NY it is time  for Gillibrand &amp; Cuomo and all of the other DummycRATS up for election… https://t.co/ZKSDCYZkIO,
Sun Nov 04 10:46:50 +0000 2018,ValerieCos4,NYers' @SenGillibrand was a NO SHOW for her debate with the Republican candidate @CheleFarley  Give it a listen. Ma… https://t.co/u2ZMXzURD4,
Sun Nov 04 10:36:40 +0000 2018,wildhorse36,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/4XVz7iT95L,
Sun Nov 04 10:10:16 +0000 2018,conserv44110594,DANGEROUS BITCH❗️EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Lon… https://t.co/0wKBWJNsF7,
Sun Nov 04 09:57:18 +0000 2018,CarolVillavice9,"RT @hecklerforever8: “When we create hope and opportunity in the lives of others, we allow love, decency and promise to triumph over coward…",
Sun Nov 04 09:56:00 +0000 2018,b150dpm,Farley an underdog to Gillibrand? Not if you ask her. https://t.co/kqkoGvHxM9,
Sun Nov 04 08:55:35 +0000 2018,mymediazoo,Gillibrand has done nothing for New York in all her years as Senator. She is owned by Labor Union bosses. Chele Far… https://t.co/0cq41VQpoe,
Sun Nov 04 08:40:16 +0000 2018,thejaggins,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/wAiWZnjUl4,
Sun Nov 04 08:39:24 +0000 2018,ROBERTBOHEN,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/k5E50CXQkL,
Sun Nov 04 08:25:22 +0000 2018,nightingalern,OPPONENT DEMANDS GILLIBRAND RETURN $$$ FROM HARVEY WEINSTEIN-LINKED FIRM https://t.co/I8Rl6e1IEa,
Sun Nov 04 08:16:14 +0000 2018,MachineX12,Real News EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime H… https://t.co/7x7fWV8SRX,
Sun Nov 04 08:13:15 +0000 2018,TheCoffeeQueen2,Senate Debate between NY Sen. Kirsten Gillibrand and Chele Farley https://t.co/NXpMxFZzuS via @YouTube,
