Date,ID,Tweets,Party
Mon Nov 05 21:30:09 +0000 2018,Blackdi51264299,RT @CheleFarley: Team Chele met our littlest campaign volunteer recently while talking to subway riders about my plan to fix the transit cr…,rep
Mon Nov 05 21:28:52 +0000 2018,gsouthbay2688,"RT @mtbackpackrk: 🇺🇸Chele is our only choice for U. S. Senator, she is not a politician &amp; has committed to working very hard for us New Yor…",rep
Mon Nov 05 21:25:31 +0000 2018,Rlasagna27,RT @bernieandsid: Vote for her please-Please do NOT let Gillibrand win! https://t.co/2Hq9UxMGyp,rep
Mon Nov 05 21:24:52 +0000 2018,jmrice,@lilbulli1031 @marcmolinaro @mandymendez90 @Airbornex82nd @Truthseeker126 @Trump454545 @mtbackpackrk And… https://t.co/y9c0InnJPN,rep
Mon Nov 05 21:19:05 +0000 2018,Nflynn72,@agounardes @MaxRose4NY @JustinBrannan @NYGovCuomo @SenGillibrand @TishJames @FrontusforNY ALL support… https://t.co/KBkeLawywe,ind
Mon Nov 05 21:17:54 +0000 2018,olney_dan,"@Mashbird315 @marcmolinaro Bless you. 
VOTE for @marcmolinaro to replace Cuomo
VOTE for @CheleFarley to replace Gillibrand",rep
Mon Nov 05 21:16:51 +0000 2018,vitalirozynko,@KMCRadio @bobforgovernor @marcmolinaro @CheleFarley @peter_king @RepLeeZeldin @NaomiLevinNY @RepJohnFaso @BobHugin… https://t.co/6PscY3N8zq,rep
Mon Nov 05 21:14:13 +0000 2018,Realjewishdepl1,We NEED #REALTRUMPSUPPORTERS @KEVINCRAMER @LOUFORSENATE @JIMRENACCI @DIEHLFORSENATE @MICKRICH4SENATE @SUSAN4SENATE @CHELEFARLEY @DEANHELLER,rep
Mon Nov 05 21:12:51 +0000 2018,KMCRadio,@JimThompson24 @bobforgovernor @marcmolinaro @CheleFarley @peter_king @RepLeeZeldin @NaomiLevinNY @RepJohnFaso… https://t.co/G29OAsueAM,rep
Mon Nov 05 21:01:53 +0000 2018,theashcenter,"Don’t forget to vote 🇺🇸
Dynamic Duo, CEO of @theashcenter, Tash.Q &amp; Dr.Keith - Director of Hair Rejuvenation showin… https://t.co/LkuUUeMisx",ind
Mon Nov 05 21:00:42 +0000 2018,M_Thompson03,Tomorrow is the day that I cast my vote for @marcmolinaro &amp; @CheleFarley. I hope many other NYrs wake up and vote o… https://t.co/BQq1kEIVta,rep
Mon Nov 05 20:54:34 +0000 2018,heehawtown,@KMCRadio @bobforgovernor @marcmolinaro @CheleFarley @peter_king @RepLeeZeldin @NaomiLevinNY @RepJohnFaso @BobHugin… https://t.co/xGIKl0IK1a,rep
Mon Nov 05 20:48:47 +0000 2018,FenucciMiles,@KingsCountyGOP @JFNYC1 @marcmolinaro @CheleFarley @Wofford4AG @jtrichter @LutchiGayot @NaomiLevinNY @RepDanDonovan… https://t.co/L6vW5EgBsK,rep
Mon Nov 05 20:47:02 +0000 2018,ss_maryanne,@sidrosenberg @marcmolinaro @CheleFarley @Marty4Senate @Benno4Congress @RepPeteKing @dandonovan_ny @BobHugin… https://t.co/Cf30ZQOg0s,rep
Mon Nov 05 20:46:07 +0000 2018,LastNameFree,"RT @mtbackpackrk: 🇺🇸Chele is our only choice for 🇺🇸U.S. N.Y. Senator, she is not a politician &amp; has committed to working very hard for us N…",rep
Mon Nov 05 20:45:12 +0000 2018,HedgeFundLarry,@sidrosenberg @marcmolinaro @CheleFarley @Marty4Senate @Benno4Congress @RepPeteKing @dandonovan_ny @BobHugin… https://t.co/bhEdtPQpKp,rep
Mon Nov 05 20:44:37 +0000 2018,NelsonGafanha,@sidrosenberg @marcmolinaro @CheleFarley @Marty4Senate @Benno4Congress @RepPeteKing @dandonovan_ny @BobHugin… https://t.co/QqmSnFMKTJ,rep
Mon Nov 05 20:44:10 +0000 2018,sidrosenberg,"And while you’re at it please vote tomorrow for @marcmolinaro @CheleFarley @Marty4Senate
@Benno4Congress… https://t.co/87qx5Gek4P",rep
Mon Nov 05 20:13:46 +0000 2018,eREM1600,"@CheleFarley After the Democrats' Kavanaugh Hoax, and with the economy roaring, why would anyone vote for Gillibran… https://t.co/ytw2KsmJJP",rep
Mon Nov 05 20:09:39 +0000 2018,CheleFarley,Our hardworking Team Chele volunteers were racing around #nycmarathon routes yesterday helping us #GOTV2018 ahead o… https://t.co/gZNmd459EF,rep
Mon Nov 05 20:04:11 +0000 2018,louchie67,"RT @mtbackpackrk: 🇺🇸Chele 💯 is our only choice for U. S. Senator, she is not a politician &amp; has committed to working very hard for us New Y…",rep
Mon Nov 05 20:03:28 +0000 2018,LContino2,@mchicon @Wofford4AG @marcmolinaro @CheleFarley @jtrichter It's NYC that will hurt us. The whole state is built in… https://t.co/kVEamJMLZw,rep
Mon Nov 05 20:03:02 +0000 2018,GKunz28,"@CheleFarley Chele, As a SW Florida resident,  I’ve followed your campaign fairly close and even sent a small donat… https://t.co/hcueDTsQgH",rep
Mon Nov 05 19:55:53 +0000 2018,Calabro,.@chelefarley I'm asking 2018 candidates like you to pledge to support #MedicareforAll. Health care must be recogni… https://t.co/e51NiDCPcO,rep
Mon Nov 05 19:54:43 +0000 2018,KingsCountyGOP,"Go out and vote for
@marcmolinaro
@CheleFarley 
@Wofford4AG
@jtrichter
@LutchiGayot
@NaomiLevinNY
@RepDanDonovan… https://t.co/YYptHiAtCH",rep
Mon Nov 05 19:50:48 +0000 2018,TimothyBair,@CheleFarley Thomas Jefferson said it best New York....your turn to send the corrupt packing tomorrow‼️ https://t.co/zHYCpvABVp,rep
Mon Nov 05 19:38:44 +0000 2018,Ellcee16,@CheleFarley Hoping you win!!!,rep
Mon Nov 05 19:24:47 +0000 2018,KenKlineSr33,"@marcmolinaro @CheleFarley My family has committed to vote tomorrow, you have all our votes!! Voting Republican! Ti… https://t.co/NTMyARJ8ji",rep
Mon Nov 05 19:20:38 +0000 2018,CorinnePulitzer,"Time for a change in representation #NEWYORk, #KirstenGillibrand is sitting on a $10 MILLION war chest, but she’s n… https://t.co/jSvQddq5OM",rep
Mon Nov 05 19:19:15 +0000 2018,jid722,#Getridofgillenbrand #REDWAVE https://t.co/KsOftAipnc,rep
Mon Nov 05 19:10:45 +0000 2018,BornaZorna,"@AndrewGillum Do Not For Hoax Fraud Gillum Again,If You Do Then Do Not COmeback Complaining 
Gillum Is Empty Balloo… https://t.co/ypUZULhtyO",rep
Mon Nov 05 19:05:49 +0000 2018,purezionist,"I #VOTEISRAEL. Vote for @CheleFarley @JohnFasoNy with your votes, we are saying #NEVERAGAIN Is NOW. #RealWomenVote… https://t.co/yQ1KAIKoGn",rep
Mon Nov 05 19:05:47 +0000 2018,PeterMerson,"@CheleFarley You paid homage to #Israel , so you still have a chance to win in NY 😀",rep
Mon Nov 05 18:57:53 +0000 2018,AlChips40404,@frankmorano @CheleFarley Never ever going to happen with fed taxes.,rep
Mon Nov 05 18:56:38 +0000 2018,NTalansky,"@SenGillibrand That's why I'm voting for @CheleFarley. 
Democrats do nothing but obstruct and #Resist. That's why I… https://t.co/mimx8EL4CA",rep
Mon Nov 05 18:49:36 +0000 2018,ValerieCos4,@CheleFarley @SenGillibrand She didn't show up for the debate just like she hasn't shown up for New  Yorkers! What… https://t.co/hbCwtJirIK,rep
Mon Nov 05 18:35:30 +0000 2018,TwittThis78,RT @MIKENY78: @Rileysmomma18 @UniteVoteRed @valshep @marcmolinaro @CheleFarley @LarrySharpe We complain all the time about Rhino Republican…,rep
Mon Nov 05 18:26:54 +0000 2018,SandraMacGowan1,@rprez2012 @marcmolinaro @CheleFarley @Wofford4AG @jtrichter Republican GOV candidatetold us to vote for Dem Comptr… https://t.co/S9nN6xW4Tg,rep
Mon Nov 05 18:26:20 +0000 2018,D1aneMontana,"RT @Lyn1350: @jeankat10 @dbongino Same here in NY. I vote for any Republican or Conservative there is on the ballot, but these days my vote…",rep
Mon Nov 05 18:23:15 +0000 2018,VinceD11566,@SenSchumer @AutismSociety Vote @CheleFarley,rep
Mon Nov 05 18:22:43 +0000 2018,JunerCJ,RT @Waydown_here: @SenGillibrand Vote @CheleFarley !,rep
Mon Nov 05 18:17:11 +0000 2018,wca4kids,"Mental health, gun violence, and immigration are a few topics discussed among the youth we spoke to in White Plains… https://t.co/LbfPrx9zae",ind
Mon Nov 05 18:15:05 +0000 2018,Lyn1350,"@jeankat10 @dbongino Same here in NY. I vote for any Republican or Conservative there is on the ballot, but these d… https://t.co/UomwkRCqGW",rep
Mon Nov 05 18:08:30 +0000 2018,Waydown_here,@SenGillibrand Vote @CheleFarley !,rep
Mon Nov 05 18:05:01 +0000 2018,norine49,"RT @mchicon: @marcmolinaro , @Wofford4AG , @CheleFarley and @jtrichter for the WIN! VOTE GOP DOWN THE LINE TOMORROW TUESDAY NOVEMBER 6 TO G…",rep
Mon Nov 05 18:04:38 +0000 2018,Nikkistark22,Vote for #GOP WOMEN! @CheleFarley @NaomiLevinNY https://t.co/yqRRi4UQcx,rep
Mon Nov 05 18:01:23 +0000 2018,MalyndaNyc,"@SenGillibrand Vote @CheleFarley!

@SenGillibrand hasn’t done anything for New York: Senate candidate Chele Farley… https://t.co/h8QZ8ggw5x",rep
Mon Nov 05 17:59:59 +0000 2018,mtbackpackrk,"🇺🇸Chele is our only choice for 🇺🇸U.S. N.Y. Senator, she is not a politician &amp; has committed to working very hard fo… https://t.co/afUqRTXabE",rep
Mon Nov 05 17:58:15 +0000 2018,LotsOfLoveFromM,https://t.co/bKbwsjnVKo,ind
Mon Nov 05 17:55:56 +0000 2018,MagaNon1,What an idea https://t.co/h3EsesCCQH,ind
Mon Nov 05 17:48:05 +0000 2018,Rileysmomma18,@MIKENY78 @UniteVoteRed @valshep @marcmolinaro @CheleFarley @LarrySharpe Robert Trump who is the Presidents brother… https://t.co/JKxeL6x5j2,rep
Mon Nov 05 17:34:03 +0000 2018,NRafter,"Rudy Giuliani robocalled my parents (registered Democrats, anti-Trump) for @CheleFarley, noting that she would be a… https://t.co/tJRIp1iSdl",dem
Mon Nov 05 17:18:12 +0000 2018,morganzegers,RT @FistFick69: @SenGillibrand America definitely values women. Especially honest hard working Conservative Women. @morganzegers @CheleFarl…,rep
Mon Nov 05 17:13:41 +0000 2018,MinorityScience,@CheleFarley @SenGillibrand Can you also mention white terrorism? Stop feeding people this Trump-fueled hatred. NY… https://t.co/x2Qs4mcU09,ind
Mon Nov 05 17:13:29 +0000 2018,GaussJylle,@karshanandrea @jdforward @SenGillibrand @CheleFarley Please don't confuse judaism the religion with israel the pol… https://t.co/E2i8mntRC8,rep
Mon Nov 05 17:08:31 +0000 2018,FistFick69,@SenGillibrand America definitely values women. Especially honest hard working Conservative Women. @morganzegers… https://t.co/1PJlzwwu7F,rep
Mon Nov 05 17:06:28 +0000 2018,Charly_Fraley,"RT @CheleFarley: I'm fighting for homeowners &amp; leveling the playing field for renters, too. My #RentTaxRelief plan deducts up to $36K from…",rep
Mon Nov 05 17:05:54 +0000 2018,armor_pattyc,Gillbrand don't care about victims who were butchered and killed by MS13 Gangs. Where were she when Kayla and Nisa… https://t.co/e7wO33MmA5,rep
Mon Nov 05 17:05:49 +0000 2018,JoeStatMan64,"@CheleFarley Out with the old
In with the new
I'm tossing the barley &amp;
Voting for Farley",rep
Mon Nov 05 17:04:38 +0000 2018,Lynx62,@realDonaldTrump @claudiatenney We the people of NY need you to endorse @CheleFarley for US Senate and @marcmolinaro,rep
Mon Nov 05 17:00:19 +0000 2018,Gngerbrdgrl,"RT @mtbackpackrk: 🇺🇸Vote for @marcmolinaro Gov with @juliepkillian Lt. Gov. 
@CheleFarley
NY US Senate
@Wofford4AG Attorney General
@jtrich…",rep
Mon Nov 05 16:51:35 +0000 2018,savedbygrace761,@CheleFarley @SenGillibrand You have my vote tomorrow!  🇺🇸,ind
Mon Nov 05 16:50:19 +0000 2018,rainafortini,@mchicon @Wofford4AG @marcmolinaro @CheleFarley @jtrichter It's stupid to pretend the corruption is all on Cuomo an… https://t.co/RCr9LyzOmn,dem
Mon Nov 05 16:33:36 +0000 2018,MJRAN73,@News12LI @CheleFarley #dumpCuomo,rep
Mon Nov 05 16:33:22 +0000 2018,BJamesSidis,@News12LI @CheleFarley Here is a liberal/socialist contemplating toasters... https://t.co/dO96fNn7jS,rep
Mon Nov 05 16:26:58 +0000 2018,CaseyParksIt,"@ScottPresler Straight down the line Red, Scott.

@marcmolinaro 
@CheleFarley",rep
Mon Nov 05 16:25:47 +0000 2018,RL9631,RT @Qns_NY_Cnsvativ: @marcmolinaro @DanDeBono @CheleFarley @Wofford4AG @Newsday @News12LI @WABCRadio @TheIslandNow @WLNYTV @LongIslandVotes…,rep
Mon Nov 05 16:25:05 +0000 2018,AlexandraAnne72,@SenGillibrand These midterms aren't about deciding whether we're a country that values women because we already ar… https://t.co/fsgRfXF8Nr,rep
Mon Nov 05 16:24:00 +0000 2018,nykryptonian,"Below is a link to Goshen Districts 1-12, Orange County, New York’s ballot example for tomorrow! Be sure to vote! A… https://t.co/DV2yUHajl1",ind
Mon Nov 05 16:23:00 +0000 2018,CHRIS_P_LANGAN,"Below is a link to Goshen Districts 1-12, Orange County, New York’s ballot example for tomorrow! Be sure to vote! A… https://t.co/xC9ug6Cybj",ind
Mon Nov 05 16:22:05 +0000 2018,weiss_malka,RT @CheleFarley: Thank you to @curtisandcosby for having me on today to talk about the #midterms2018   https://t.co/vZ48PiXsom,rep
Mon Nov 05 16:15:24 +0000 2018,wordsrfree,RT @lilbulli1031: NY needs @CheleFarley for US Senator. Replace the self serving @SenGillibrand. Chele will keep NY tax money from hemorrha…,rep
Mon Nov 05 16:12:21 +0000 2018,chiaria6,RT @armor_pattyc: @CheleFarley @RudyGiuliani Tomorrow Tuesday Nov 6th is elections day.  Times for changes. Vote for CHELE FARLEY for senat…,rep
Mon Nov 05 16:07:17 +0000 2018,SandraLind15,@clarkeygirl16 @CheleFarley @RudyGiuliani 😄😂,rep
Mon Nov 05 15:54:16 +0000 2018,hlb54,"RT @CheleFarley: Team Chele volunteers canvassing today @ #nycmarathon! Thank you for your hard work to #GOTV2018 ahead of Tuesday, #Electi…",rep
Mon Nov 05 15:53:06 +0000 2018,Genesis33K,The man who brought NYC back to life &amp; who led us through the 9/11 terrorists attacks is asking us to vote for… https://t.co/QNIkTvpSCq,rep
Mon Nov 05 15:48:54 +0000 2018,GreggSullivan7,@CheleFarley @RudyGiuliani On Long Island and most of us are whispering we are voting @GOP    @SenGillibrand has ab… https://t.co/sxrLQcgb2d,rep
Mon Nov 05 15:47:57 +0000 2018,JamesGi31149914,@realDonaldTrump WHY in the Hell can't you give a SUPPORT TWEET to @CheleFarley running against the Marxist… https://t.co/C491fCpyk9,rep
Mon Nov 05 15:43:19 +0000 2018,MzBittersweet81,That's #WhyImVoting for @CheleFarley - because @SenGillibrand is supposed to be my Senator but she doesn't represen… https://t.co/gbF83nO7MZ,rep
Mon Nov 05 15:40:54 +0000 2018,ckutsc51,"RT @News12LI: 20 Questions with @CheleFarley,  Republican Candidate for U.S. Senate. Democrat incumbent Kirsten Gillibrand did not particip…",rep
Mon Nov 05 15:38:58 +0000 2018,AlphaGator,Hwy New York #VoteForCheleFarley. Chele you need to get on @seanhannity radio show today. Just do it. It will be we… https://t.co/8XL77NvbAn,rep
Mon Nov 05 15:34:23 +0000 2018,karshanandrea,@jdforward @SenGillibrand A political canvasser told me yesterday that @SenGillibrand voted against BDS legislation… https://t.co/nqV3i9tuxM,rep
Mon Nov 05 15:31:58 +0000 2018,ShawnSTOM777,@CheleFarley Those signs are dangerous on the side of the road. Because the first name is much smaller than the las… https://t.co/77fUBrBj9h,rep
Mon Nov 05 15:21:15 +0000 2018,laurienappo,NY must elect both @CheleFarley and @marcmolinaro so we can start feeling the prosperity that the rest of the Count… https://t.co/Z2MShFCsUL,rep
Mon Nov 05 15:19:50 +0000 2018,OutdorieWestB,"RT @JCats2013: Don't miss this Sunday's show on https://t.co/R7p9z2wVfg! Special guests: 
National: @StephenMoore, Ken Starr, @CheleFarley,…",ind
Mon Nov 05 15:18:12 +0000 2018,NYCampMom,Giuliani endorses @CheleFarley ! https://t.co/F1OVNoP2lJ,rep
Mon Nov 05 15:16:09 +0000 2018,methusablah,RT @thataintright01: #NewYork you have to #VoteOutGillibrand - She wants to abolish ICE. Why? Her father has ties to human trafficking comp…,rep
Mon Nov 05 15:14:15 +0000 2018,Kodie2038Donna,"@realDonaldTrump @claudiatenney Support @CheleFarley too running against @SenGillibrand send her packing!
#VoteRedToSaveAmerica #MAGA",rep
Mon Nov 05 15:13:12 +0000 2018,NYCgirl0817,"RT @News12BX: 20 Questions with @CheleFarley,  Republican Candidate for U.S. Senate. Democrat incumbent Kirsten Gillibrand did not particip…",rep
Mon Nov 05 15:05:42 +0000 2018,trishwalker163,@CheleFarley @RudyGiuliani Rudy Guiliani is a complete utter disgrace.,dem
Mon Nov 05 15:04:10 +0000 2018,knastus637,"RT @Hope_2_C_MAGA: These Little Town “BLUES”
R melting away
Gonna make brand new start of it
In old NY
If we can make it here
We’ll make it…",rep
Mon Nov 05 15:01:21 +0000 2018,EquestarTjn,Awesome !  Vote Farley https://t.co/350C1ExDRZ,rep
Mon Nov 05 14:55:07 +0000 2018,terescavs,@jrt67 @jenniferx725 @rihanna @Solmemes1 @CheleFarley @marcmolinaro @Wofford4AG @ReneeMZeno @DanDeBono… https://t.co/1TjY9ZEQGu,rep
Mon Nov 05 14:53:29 +0000 2018,thataintright01,#NewYork you have to #VoteOutGillibrand - She wants to abolish ICE. Why? Her father has ties to human trafficking c… https://t.co/AqTX6rrrHF,rep
Mon Nov 05 14:43:09 +0000 2018,sq_mauricio,"RT @News12HV: 20 Questions with @CheleFarley,  Republican Candidate for U.S. Senate. Democrat incumbent Kirsten Gillibrand did not particip…",rep
Mon Nov 05 14:39:35 +0000 2018,ICDEB,@News12LI @CheleFarley 👍,rep
Mon Nov 05 14:34:51 +0000 2018,clarkeygirl16,@CheleFarley @RudyGiuliani https://t.co/SGqyYKeP6D,rep
Mon Nov 05 14:34:26 +0000 2018,ken11801,@News12LI @CheleFarley Maybe she was busy with Cryin' Chuck flapping her gums showing how NOT to be pro active until it is to late.,rep
Mon Nov 05 14:30:00 +0000 2018,News12BX,"20 Questions with @CheleFarley,  Republican Candidate for U.S. Senate. Democrat incumbent Kirsten Gillibrand did no… https://t.co/TO85GBi4CJ",ind
Mon Nov 05 14:21:44 +0000 2018,_ArtistRack,"@CheleFarley Why not get your Music Featured on #ArtistRack - submissions are easy, click here &gt;&gt;&gt;… https://t.co/77PXS5XtRD",ind
Mon Nov 05 14:21:34 +0000 2018,411retired,RT @CheleFarley: Thank you to Helen Freedman &amp; Robin Ticker for your strong support! As your US Senator I will stand w/ our ally #Israel fo…,rep
Mon Nov 05 14:08:29 +0000 2018,KristaSparks95,@CheleFarley @joshua1986ny @realMikeLindell The fraud pillow guy...? Funny,ind
Mon Nov 05 14:06:00 +0000 2018,Duvi_Honig,“BRILLIANT MOVE” Watch @CheleFarley message about introducing Legislation to incorporate RENT as tax deductible (as… https://t.co/Au0iAHG4jO,rep
Mon Nov 05 13:54:28 +0000 2018,thewatchfulmom,RT @CheleFarley: I've been endorsed by America's Mayor! Thank you to @RudyGiuliani for his support at yesterday's #Ohel visit. Let's #PutNY…,rep
Mon Nov 05 13:54:20 +0000 2018,Myshiloh,@GreggSullivan7 @CheleFarley @SenateDems Mine just shot up,ind
Mon Nov 05 13:47:31 +0000 2018,mymediazoo,GIULIANI ENDORSES CHELE FARLEY FOR UNITED STATES SENATE. The NYC Mayor who Saved Our City n 9/11 is asking New York… https://t.co/hE1IVv7pBd,rep
Mon Nov 05 13:45:48 +0000 2018,Edmundite1,@CheleFarley Good Luck tomorrow!,rep
Mon Nov 05 13:39:56 +0000 2018,imbones25,"A vote for Chele Farley's opponent means open borders, higher taxes, and lower security. @SenGillibrand has not don… https://t.co/Wh94bFjNlw",rep
Mon Nov 05 13:28:14 +0000 2018,bernieandsid,Vote for her please-Please do NOT let Gillibrand win! https://t.co/2Hq9UxMGyp,rep
Mon Nov 05 13:27:48 +0000 2018,GannonShaya,RT @LadyLibertyInEx: Chele intends to invest in the state’s crumbling roads and bridges and to fix the nation’s largest mass transportation…,rep
Mon Nov 05 13:27:27 +0000 2018,John_Colascione,Giuliani Endorses Chele Farley For United States Senate https://t.co/qMrPxlOz6e #PutNYFirst #Farley4NY @CheleFarley… https://t.co/9Pz5zQFN69,rep
Mon Nov 05 13:21:56 +0000 2018,GibsonAddict283,@210ds @CheleFarley @leezeldin @SenGillibrand #shamone,rep
Mon Nov 05 13:13:55 +0000 2018,LadyLibertyInEx,Chele intends to invest in the state’s crumbling roads and bridges and to fix the nation’s largest mass transportat… https://t.co/zFPazhFdcG,rep
Mon Nov 05 13:08:10 +0000 2018,DaveCatalfamo,".@SenGillibrand ""is focused on raising her profile to run for president, but what I care about is that she hasn't a… https://t.co/FRepLo4NFo",rep
Mon Nov 05 13:08:03 +0000 2018,curlygh,@foxandfriends why are we not talking about the New York senate race we need help we need to vote 4 @CheleFarley no… https://t.co/Lmeqsoopww,rep
Mon Nov 05 13:02:43 +0000 2018,Airdisplacer,RT @ElizabethBotros: @UniteVoteRed @Airdisplacer @CheleFarley https://t.co/P8Bw1qR0MX,rep
Mon Nov 05 12:56:30 +0000 2018,valshep,#VoteCheleFarley #VoteStraightRepublicanTicket #MakeNewYorkRedAgain https://t.co/IVb6lzq8Ds,rep
Mon Nov 05 12:48:26 +0000 2018,Onorato58,@SenGillibrand I value @CheleFarley,rep
Mon Nov 05 12:48:16 +0000 2018,jp12687,@CheleFarley on the fence if I should vote for you. I like a lot of what you say about the broken system. Talk a lo… https://t.co/CG8DDPx8SB,ind
Mon Nov 05 12:43:45 +0000 2018,ElizabethBotros,@UniteVoteRed @Airdisplacer @CheleFarley https://t.co/P8Bw1qR0MX,rep
Mon Nov 05 12:30:26 +0000 2018,mdpaniccia,"RT @mdpaniccia: Could you see Coumo doing that, from his corrupt ivory tower? Standing among everyday New Yorkers. Answering their question…",rep
Mon Nov 05 12:24:19 +0000 2018,DrLMI1,"RT @terescavs: @marcmolinaro Ya got it Marc 🌹

“Litisha is a Disastah” 
Vote @Wofford4AG  NYS AG

Keep knockin’ on “Dem” doors https://t.co…",rep
Mon Nov 05 11:47:29 +0000 2018,RichardHalas,"RT @CheleFarley: .@SenGillibrand bills herself as ""transparent"" &amp; ""accessible."" Really? Gillibrand intentionally avoided our @News12LI deba…",rep
Mon Nov 05 11:37:27 +0000 2018,javierccancce,RT @AaronKleinShow: Radio lineup for this weekend includes @RonDeSantisFL @CheleFarley @NaomiLevinNY and I'm broadcasting from Florida on e…,ind
Mon Nov 05 11:27:43 +0000 2018,archangelny1,"RT @CheleFarley: Read MacKenzie Shoen's great LTE in @WDTnews. Albany's &amp; DC's status quo weren't working, so it's up to a new generation o…",ind
Mon Nov 05 10:53:52 +0000 2018,MadStorkImages,"RT @innaroz: New Yorkers, please vote 4 @CheleFarley - to replace K. Gillibrand, and @marcmolinaro - to replace Cuomo.
If we all come out t…",rep
Mon Nov 05 10:50:32 +0000 2018,SHICAGroup,RT @robjh1: Fellow Patriots: Please join me in supporting 3 strong conservative women who are running for office in liberal New York. Let's…,rep
Mon Nov 05 09:13:39 +0000 2018,SexyTrump3,@robjh1 @NaomiLevinNY @CheleFarley @Corina4UWS I love Smart and Sexy Patriotic Woman 😉👍👍 Lol,rep
Mon Nov 05 08:47:56 +0000 2018,glennmid10001,"@JackJolis @NRO @CheleFarley @cpnys @SenGillibrand Accusations of voter fraud without any evidence, how conservative of you.",ind
Mon Nov 05 08:13:29 +0000 2018,CH88keys,@Nikkistark22 @CheleFarley @NaomiLevinNY @Florida_CD5 @AjaforCongress @ElizabethHeng @RepStefanik @LeahVukmir… https://t.co/3zYH3T8JRz,rep
Mon Nov 05 07:37:33 +0000 2018,JackJolis,"@NRO I just voted (absentee) for @CheleFarley for Senate on the @cpnys line.

I can't tell you how much pleasure it… https://t.co/y0bukJj9qf",rep
Mon Nov 05 06:09:28 +0000 2018,Shauna33R,"NY Residents

VOTE OUT @SenGillibrand
&gt;FOUL-Mouthed
&gt;Do-NOTHING
&gt;Man-BASHER

VOTE IN @CheleFarley for YOUR True Rep… https://t.co/r4dD6WCfQK",rep
Mon Nov 05 05:58:23 +0000 2018,Mariatweets3,"RT @Hope_2_C_MAGA: @FriendsofPappas .@marcmolinaro @CheleFarley @POTUS 
https://t.co/rTkPvEndyO",rep
Mon Nov 05 05:44:29 +0000 2018,svetlanagpiano,RT @Kodie2038Donna: @EricTrump @RealAdamHo @claudiatenney How about getting the word out for @CheleFarley she is running against Gillabrand…,rep
Mon Nov 05 05:39:05 +0000 2018,janonthemtn,RT @thoughtful1more: @mitchellvii Not all states allow early voting.  I’ll be there first thing Tuesday morning voting all red in NYS - esp…,rep
