Date,ID,Tweet,Party
Mon Nov 05 13:52:11 +0000 2018,nwmalinowski,If Dems take control of the Senate tomorrow - we expect them to champion their remarkably good criminal justice ref… https://t.co/bPkBuY0uVV,dem
Mon Nov 05 13:49:44 +0000 2018,eleanorslegacy,"Yes, and when flipping a single seat means @AndreaSCousins will become the first woman and first woman of color to… https://t.co/xwVmwrphCq",dem
Mon Nov 05 11:55:13 +0000 2018,5starFatal,S5454 Via: @nysenate: https://t.co/RPfGCbtPeJ,ind
Mon Nov 05 07:51:46 +0000 2018,robyne_young,@FreeTheKingsNOW @NoLongerIgnored @NYCSpeakerCoJo @PCA_NY @NYCCouncil @ACSNYC @NYCMayor @jeffsessions_ @NewYorker… https://t.co/pMvhtstcla,ind
Mon Nov 05 04:36:50 +0000 2018,billjryan,RT @thegoldston: Huge army of volunteers here at the 41st AD Dem Club in my mom's home neighborhood of Marine Park to elect @agounardes to…,dem
Mon Nov 05 03:44:34 +0000 2018,rurikab,"RT @RachelLavine2: We can do this - just a few more days, a few more dollars, a few more voters &amp;  the #BlueWave will take #NYSenate! I jus…",dem
Mon Nov 05 02:42:54 +0000 2018,YanceyRoy,"Cuomo, fellow Dems campaign on eastern Long Island, seeking wins not only in statewide races but hoping to flip Con… https://t.co/9q0Q7l6nwV",dem
Mon Nov 05 01:00:00 +0000 2018,TUCapCon,"Latest #podcast episode explore the competitive races for the #NYSenate with @ChrisMcKenna845, @newsdaybrand,… https://t.co/XkFqDysQdD",ind
Sun Nov 04 23:59:29 +0000 2018,MrDanielavery,"Democratic states are gerrymandered too, sometimes. Here's my NY State Senate District in Brooklyn. Does that shape… https://t.co/TMnRzgojp1",dem
Sun Nov 04 23:56:18 +0000 2018,OnlyWhiteTiger,@stephab_baldwin @LtGovHochulNY @NYSenate Ii so agree,dem
Sun Nov 04 23:53:01 +0000 2018,stephab_baldwin,@LtGovHochulNY @OnlyWhiteTiger @NYSenate We absolutely need early voting in NY,dem
Sun Nov 04 23:30:21 +0000 2018,dorobuk,RT @DanHendrick: Going door to door today on #LongIsland to help elect @Gaughran4Senate! We need #cleanenergy #environment leaders like Jim…,dem
Sun Nov 04 23:22:51 +0000 2018,saudade70,"RT @theanimalvoters: Thrilled to endorse @agounardes for #NYSenate! Whether companion animals, wildlife or animals exploited for entertainm…",dem
Sun Nov 04 22:39:33 +0000 2018,LeahTweetr,RT @revjmcguire: #NYSenate @JamesTedisco has been a reliable #prolife vote. You can vote for him with confidence. He will not be supporting…,rep
Sun Nov 04 21:54:39 +0000 2018,revjmcguire,RT @NYCFPAC: #NYSenate @JimTedisco: I’m 100% #ProLife! https://t.co/k6ONt6tHFm,rep
Sun Nov 04 21:54:18 +0000 2018,NYCFPAC,#NYSenate @JimTedisco: I’m 100% #ProLife! https://t.co/k6ONt6tHFm,rep
Sun Nov 04 21:52:45 +0000 2018,revjmcguire,#NYSenate @JamesTedisco has been a reliable #prolife vote. You can vote for him with confidence. He will not be sup… https://t.co/hCKdazKxc3,rep
Sun Nov 04 21:24:49 +0000 2018,Dawson6211,"@NRA @POTUS @NYSenate 
Another move to deprive conservatives of their rights! 
The Democrats in the NY Caliphate mu… https://t.co/NFL4g9vFDS",rep
Sun Nov 04 20:59:29 +0000 2018,maawallace,"""Wild horses couldn't keep me from the polls on Tuesday."" -- the best thing I heard knocking doors for… https://t.co/Rnb5LQPtck",ind
Sun Nov 04 20:22:12 +0000 2018,OG_JOHNSON84,"#Watch #Listen #Learn  Then Vote! https://t.co/tXGCfSwQrD Then we With the Help of @NYCMayor ,@NYSenate ,… https://t.co/XFwSmKJawl",ind
Sun Nov 04 20:15:53 +0000 2018,CPBuffy19,RT @SouthShore_Dems: The Senate race in NY’s 7th District is crucial to Democrats taking back the majority. Vote @AnnaMKaplan on Nov 6th!…,dem
Sun Nov 04 20:00:39 +0000 2018,bklynphatman,"RT @thegoldston: ...and we just sent out enough canvassers to doorknock *all* of Marine Park, Gerritsen Beach, Manhattan Beach, and Sheepsh…",ind
Sun Nov 04 19:32:35 +0000 2018,DanHendrick,Going door to door today on #LongIsland to help elect @Gaughran4Senate! We need #cleanenergy #environment leaders l… https://t.co/N73igxtbO2,dem
Sun Nov 04 19:21:47 +0000 2018,thegoldston,"...and we just sent out enough canvassers to doorknock *all* of Marine Park, Gerritsen Beach, Manhattan Beach, and… https://t.co/EsG42zDAbO",ind
Sun Nov 04 19:20:10 +0000 2018,JustinBrannan,RT @thegoldston: And we're not done launching canvassers: here's @MarkTreyger718 Lew Fidler and @agounardes launching another team. #nysena…,ind
Sun Nov 04 18:58:54 +0000 2018,CliffOlney,#BuffaloNY @GOP Chris Jacobs @JacobsforSenate is blocking wage standards for workers in #NYS &amp; has edge in money &amp;… https://t.co/OEpxcrSjAA,rep
Sun Nov 04 18:48:22 +0000 2018,Ayisha_Irfan,RT @thegoldston: Lew Fidler and @BarryGrodenchik firing up overflow crowd of 100+ canvassers in Marine Park for @agounardes. #nysenate http…,ind
Sun Nov 04 18:40:52 +0000 2018,FightBackBR,RT @DHughesNYC: @PreetBharara Don’t tell @SenMartyGolden what time you’re voting. He might break into your house and tweet stupid conspirac…,ind
Sun Nov 04 18:36:00 +0000 2018,DHughesNYC,@PreetBharara Don’t tell @SenMartyGolden what time you’re voting. He might break into your house and tweet stupid c… https://t.co/b14RsigMbf,ind
Sun Nov 04 18:04:38 +0000 2018,RachelLavine2,"We can do this - just a few more days, a few more dollars, a few more voters &amp;  the #BlueWave will take #NYSenate!… https://t.co/bicU7TEZDB",dem
Sun Nov 04 18:03:32 +0000 2018,ny_indivisible,@IamAnuNaik @NYSenate @nycDSA @NycSocfem @NYHCampaign @PNHPNYMetro @nysd17progress Concentrate on the Election on T… https://t.co/EzKeUmG7XW,ind
Sun Nov 04 17:42:22 +0000 2018,RussKamer,Supporting @marcmolinaro and state senator @vote4murphy https://t.co/NEsXKrC9fW,rep
Sun Nov 04 17:37:56 +0000 2018,thegoldston,And we're not done launching canvassers: here's @MarkTreyger718 Lew Fidler and @agounardes launching another team.… https://t.co/UnFZaPQTjm,ind
Sun Nov 04 17:10:30 +0000 2018,thegoldston,Lew Fidler and @BarryGrodenchik firing up overflow crowd of 100+ canvassers in Marine Park for @agounardes.… https://t.co/KWcfYQVT9A,ind
Sun Nov 04 17:03:22 +0000 2018,thegoldston,Huge army of volunteers here at the 41st AD Dem Club in my mom's home neighborhood of Marine Park to elect… https://t.co/bffhnUKxES,dem
Sun Nov 04 17:00:00 +0000 2018,LtGovHochulNY,"New York is one of 13 states that does not offer #EarlyVoting.

We need voting reform to ensure access and equal op… https://t.co/IkGD6XLtDB",ind
Sun Nov 04 16:49:34 +0000 2018,IPPLLGOP,RT @HannonSenate: November is Crohn's &amp; Colitis Awareness Month. This month is the time to bring awareness to this serious health condition…,ind
Sun Nov 04 16:16:04 +0000 2018,RealCruzHenry,RT @gabrielblau: Proud to help @bradhoylman elect a @NYSenate that will pass #GENDA #BanConversionTherapy and so much more to bring equalit…,dem
Sun Nov 04 16:05:14 +0000 2018,YThisHappened,@matrock_7 @dhunt245 @Thurguston1 @Stephen28736048 @RealJimSnell @ComentarioDicho @tribelaw @ZerlinaMaxwell… https://t.co/cQj2dwIJgt,ind
Sun Nov 04 15:54:59 +0000 2018,scollerd,RT @mannionfor50: I am proud to stand w the hardworking men &amp; women of labor. We need a seat at the table in the #NYSenate for the middle c…,dem
Sun Nov 04 15:40:08 +0000 2018,HannonSenate,November is Crohn's &amp; Colitis Awareness Month. This month is the time to bring awareness to this serious health con… https://t.co/jdsmxGmkpC,ind
Sun Nov 04 14:45:05 +0000 2018,socialiststeve6,RT @Brian_Tourville: @nysenate @whpresscorps @NatlAssnAttysGn @NatlGovsAssoc : @NancyPelosi @SenSchumer @TheDemocrats @SenateDems @SenateDe…,dem
Sun Nov 04 13:04:02 +0000 2018,UnitedDemsOC,RT @mannionfor50: Busy day! Started w/ @TheIronworkers &amp; @AlStirpe2018 in North Syracuse. Jen managed to mostly stay on her feet through th…,dem
Sun Nov 04 09:20:42 +0000 2018,LesRoediger,"""Typically, any proof an illegal alien provides as evidence of legal status, regardless of its fraudulent nature, w… https://t.co/rerZqz2Bmh",rep
Sun Nov 04 08:15:40 +0000 2018,OG_JOHNSON84,"#Watch #Read #Learn #Retweet https://t.co/DvfmJcmr7B Thank you,@UN for This Update and for Acknowledging Our Climat… https://t.co/seKU5Qgag0",dem
Sun Nov 04 06:54:38 +0000 2018,Brian_Tourville,@nysenate @whpresscorps @NatlAssnAttysGn @NatlGovsAssoc : @NancyPelosi @SenSchumer @TheDemocrats @SenateDems… https://t.co/X8qCanXDVz,dem
Sun Nov 04 05:19:12 +0000 2018,N10lemd,"RT @AG2000000: #Vote for @voteAriasNYC for NYS Senate, 26th District this #ElectionDay #newyorkcity #NewYork #VoteRed #NYSenate #Republican…",rep
Sun Nov 04 05:06:41 +0000 2018,TheSmithtownYR,RT @poozer87: #NYsenate GOP statement on @NY1 story about past criminal complaints against two @NYSenDems candidates on Long Island. https:…,rep
Sun Nov 04 03:14:02 +0000 2018,iliumfuit,"@marcmolinaro  I am hopeful that you will support the Senate Bill ""Safe Staffing for Quality Care"", a bill that wou… https://t.co/RIbtBdWsKf",rep
Sat Nov 03 23:52:09 +0000 2018,sesame3434,RT @KathyHochul: Thank you @CSPAN @CSPANWJ for having me on #50CapitalsTour to discuss the progress we’ve made in NY and the upcoming elect…,ind
Sat Nov 03 23:06:12 +0000 2018,mannionfor50,Busy day! Started w/ @TheIronworkers &amp; @AlStirpe2018 in North Syracuse. Jen managed to mostly stay on her feet thro… https://t.co/tHFA1QbnXy,ind
Sat Nov 03 22:36:37 +0000 2018,thesixthwoman,@IdeaGov Dear @NYSenate @NYGovCuomo  Why does NYS still only have ONE DAY of voting?  No early voting?  No voting b… https://t.co/FC69zrRJY2,dem
Sat Nov 03 21:37:55 +0000 2018,OG_JOHNSON84,"#Watch #Listen #Learn #Retweet https://t.co/TjeuI9LF24 Thank you, @cenkuygur and @SenSanders for this great intervi… https://t.co/G26wQ8oif0",dem
Sat Nov 03 20:18:14 +0000 2018,randvbest,RT @SenatorHamilton: Why do people like #CornerstoreCaroline use 911 to intimidate African-Americans? Because usually there are no conseque…,dem
Sat Nov 03 19:34:50 +0000 2018,_panyc,"RT @TransitCenter: Our award for best Halloween costume of the week goes to Harry ""M96"" Tay. @nysenate &amp; @NYSAmajority: Let's fund #FastFor…",ind
Sat Nov 03 19:30:53 +0000 2018,andymoonsun,"RT @agounardes: Another day, another @Marty4Senate/@SenMartyGolden lie. This time he's lying about voting against patients w/ pre-existing…",dem
Sat Nov 03 17:55:06 +0000 2018,KateLinker1,RT @PPESVotesPAC: Two Syracuse candidates push to save Roe v. Wade abortion rights. John Mannion and Rachel May stand up for women's health…,dem
Sat Nov 03 17:00:09 +0000 2018,Brian_Tourville,@chuckschumer @SenSchumer @nysenate @nygovcuomo @NancyPelosi @SenateDems @DemWarRoom @SenateDemBudget… https://t.co/EReYHZnWfo,dem
Sat Nov 03 16:45:02 +0000 2018,theanimalvoters,"Thrilled to endorse @agounardes for #NYSenate! Whether companion animals, wildlife or animals exploited for enterta… https://t.co/dBWmyrdr3f",dem
Sat Nov 03 16:44:02 +0000 2018,Brian_Tourville,RT @Brian_Tourville: Opinion | Be Outraged by America’s Role in Yemen’s Misery - The New York Times @srcc @whpresscorps @thejointstaff @Jag…,ind
Sat Nov 03 16:17:08 +0000 2018,valentino_anne,RT @RebeccaDamonNYC: .@NYSenate @bradhoylman sure knows how to rally a crowd. A NY State Senator who truly cares about our issues! Thank yo…,dem
Sat Nov 03 16:17:05 +0000 2018,shargem69,Senate Passes Package of Animal Protection Measures | NY State Senate https://t.co/pZEMgIPphE,dem
Sat Nov 03 14:57:40 +0000 2018,OG_JOHNSON84,#MedicareForAll @SenGillibrand @RepPaulTonko @NYSenate @Ocasio2018 @BaumelFor64 @PhilSteck Medicare for all and Leg… https://t.co/vYnXLPbqfZ,dem
Sat Nov 03 14:31:16 +0000 2018,MeTyWil,RT @NYSenate: Today's public hearing examining the state’s current parole policies @NYGovCuomo’s Executive Order allowing conditional pardo…,dem
Sat Nov 03 14:31:05 +0000 2018,MeTyWil,Can you believe this? https://t.co/ICsUuIxeIT,ind
Sat Nov 03 14:22:58 +0000 2018,Tuesnay,"RT @SquarePegDem: Am I the only one surprised at the @NYDailyNews print edition illustrating the DEM-GOP battle (""Showdown in the Senate"")…",ind
Sat Nov 03 14:00:00 +0000 2018,TUCapCon,"Latest #podcast episode explore the competitive races for the #NYSenate with @ChrisMcKenna845, @newsdaybrand,… https://t.co/vLkNPQFadp",ind
Sat Nov 03 13:55:45 +0000 2018,RebeccaDamonNYC,.@NYSenate @bradhoylman sure knows how to rally a crowd. A NY State Senator who truly cares about our issues! Thank… https://t.co/KasrDoV2q8,dem
Sat Nov 03 12:30:18 +0000 2018,AG2000000,"#Vote for @voteAriasNYC for NYS Senate, 26th District this #ElectionDay #newyorkcity #NewYork #VoteRed #NYSenate… https://t.co/5D1afZSlQ8",rep
Sat Nov 03 09:19:21 +0000 2018,Marcietee,@JillayneMC Oh you might want to read this https://t.co/qyW0NqVEWA there is others https://t.co/LNjEDuVsDv then thi… https://t.co/IPZiXflwos,dem
Sat Nov 03 07:45:26 +0000 2018,Brian_Tourville,@LockheedMartin Be Outraged by America’s Role in Yemen’s Misery - @HouseJudDems @JudiciaryDems INSIDER TRADING &amp; DR… https://t.co/VyR4rWAOFa,dem
Sat Nov 03 07:37:39 +0000 2018,SpiderWisdom,"RT @TheMrJayBrown: @Marty4Senate Wow, that's some chutzpah, Martin. Lying that egregiously. On the actual vote for the bill you did vote Na…",dem
Sat Nov 03 07:37:16 +0000 2018,SpiderWisdom,"RT @yourtownisnext: @Marty4Senate You voted NO on Ian’s Law, Marty. You voted to allow insurers to discriminate against sick people. What,…",dem
Sat Nov 03 06:17:20 +0000 2018,Brian_Tourville,"The Ongoing, Avoidable Horror of the Trump Administration’s Texas Tent Camp for Migrant Kids | The New Yorker… https://t.co/wdcjudZskS",dem
Sat Nov 03 05:57:52 +0000 2018,Brian_Tourville,@NancyPelosi @chuckschumer @SenSchumer And What Have You Two Wall St. Darlings Done 2 Correct This GLARING HOLE in… https://t.co/xH5naaIUy6,dem
Sat Nov 03 05:52:49 +0000 2018,Brian_Tourville,@nysenate @NatlAssnAttysGn @NatlGovsAssoc @NewYorkStateAG https://t.co/kkAr8iR5XV,dem
Sat Nov 03 04:38:13 +0000 2018,fb2a1004,@MacGyve48755890 @CarlyELehwald @realDonaldTrump heres what you get for being an illegal https://t.co/h6GkIab2gE  b… https://t.co/FOUkghCsIU,rep
Fri Nov 02 21:44:17 +0000 2018,geminicollision,"RT @agounardes: Another day, another @Marty4Senate/@SenMartyGolden lie. This time he's lying about voting against patients w/ pre-existing…",dem
Fri Nov 02 21:41:14 +0000 2018,OG_JOHNSON84,#DumpGOP2018 #DumpTrump #SaveOurEnvironment https://t.co/pHt0hpp9U7 Thanks @ringoffireradio for this Sad but true r… https://t.co/4e9IRoScuk,dem
Fri Nov 02 21:25:32 +0000 2018,embernic,"RT @agounardes: Another day, another @Marty4Senate/@SenMartyGolden lie. This time he's lying about voting against patients w/ pre-existing…",dem
Fri Nov 02 20:47:57 +0000 2018,agounardes,"Another day, another @Marty4Senate/@SenMartyGolden lie. This time he's lying about voting against patients w/ pre-e… https://t.co/FcTTCR0k05",dem
Fri Nov 02 20:44:03 +0000 2018,connorfmurphy,RT @poozer87: #NYsenate GOP statement on @NY1 story about past criminal complaints against two @NYSenDems candidates on Long Island. https:…,ind
Fri Nov 02 20:35:21 +0000 2018,Monstroso1,RT @AG2000000: Last #FollowFriday before the #elections . #VoteRed #Republican for these individuals running for the #NYSenate : @Sullivan6…,rep
Fri Nov 02 20:14:03 +0000 2018,frannycivitano,"RT @TransitCenter: Our award for best Halloween costume of the week goes to Harry ""M96"" Tay. @nysenate &amp; @NYSAmajority: Let's fund #FastFor…",ind
Fri Nov 02 20:07:51 +0000 2018,CConiaris,"RT @SenatorOMara: Proud to join sponsor @SenatorSeward, @reviveruralny and other advocates and supporters to urge @NYGovCuomo to sign the #…",dem
Fri Nov 02 20:07:28 +0000 2018,GaryGinsburg,"@Brooks4LINY @AnnaMKaplan @Gaughran4Senate @Senator98 @Marcellino4NY .@AnnaMKaplan: ""Further, the #NYSenGOP has con… https://t.co/JHBSGHBp1s",dem
Fri Nov 02 20:00:40 +0000 2018,NERCC,RT @mannionfor50: I am proud to stand w the hardworking men &amp; women of labor. We need a seat at the table in the #NYSenate for the middle c…,dem
Fri Nov 02 19:51:19 +0000 2018,SenatorOMara,ICYMI: #NYS announces new residential assistance program to provide relief funds for #SouthernTier #FingerLakes hom… https://t.co/4emZi263VD,ind
Fri Nov 02 19:38:34 +0000 2018,YanceyRoy,"In the final push -- by political action committees -- for #nysenate control, teachers' unions are spending big to… https://t.co/wOgPOcT3L3",dem
Fri Nov 02 19:36:28 +0000 2018,TransitCenter,"Our award for best Halloween costume of the week goes to Harry ""M96"" Tay. @nysenate &amp; @NYSAmajority: Let's fund… https://t.co/V7iNsmOuMQ",ind
Fri Nov 02 19:11:07 +0000 2018,bklynphatman,"RT @LEPCreature: Think Marty distanced himself from D'Emic after that? Nope!

In 2010 –after D'Emic had been disbarred by the courts– Marty…",ind
Fri Nov 02 19:06:31 +0000 2018,Calicocathy7700,"HOW &amp; WHY IS TRAPPING &amp; SKINNING ANIMALS ALIVE LEGAL ???!!!
@SenGillibrand
@chuckschumer
@claudiatenney
@SenateDems… https://t.co/lT9dz4OJfM",dem
Fri Nov 02 18:54:52 +0000 2018,Smudgie_the_cat,RT @PPESVotesPAC: Two Syracuse candidates push to save Roe v. Wade abortion rights. John Mannion and Rachel May stand up for women's health…,dem
Fri Nov 02 18:23:23 +0000 2018,PattyReilly10,"RT @eleanorslegacy: ""@Cooney4NYSenate and @VoteJenLunsford are smart, progressive candidates with a good grasp of the issues they would fac…",dem
Fri Nov 02 18:17:20 +0000 2018,poozer87,A new generic ad from @nydems for Aaron Gladd’s #nysenate bid. https://t.co/drbybsuVOe,dem
Fri Nov 02 18:14:53 +0000 2018,DavidLamendola,ICYMI: #nyassembly #nysenate https://t.co/ZilovxPjOg,ind
Fri Nov 02 18:01:42 +0000 2018,LEPCreature,"Think Marty distanced himself from D'Emic after that? Nope!

In 2010 –after D'Emic had been disbarred by the courts… https://t.co/SaciN0bJ0p",ind
Fri Nov 02 18:01:35 +0000 2018,ZacAKAMadu,"RT @TUCapCon: Latest #podcast episode explore the competitive races for the #NYSenate with @ChrisMcKenna845, @newsdaybrand, @JamesTMulder a…",ind
Fri Nov 02 18:00:00 +0000 2018,TUCapCon,"Latest #podcast episode explore the competitive races for the #NYSenate with @ChrisMcKenna845, @newsdaybrand,… https://t.co/HpU3DWZne0",ind
Fri Nov 02 17:57:08 +0000 2018,SquarePegDem,@BlakeMorris4NYS @NYDailyNews @NYSenate @SenGianaris @AndreaSCousins @SenFlanagan So who knows? Someone ought to sp… https://t.co/YLfNy5JKRd,ind
Fri Nov 02 17:50:15 +0000 2018,BlakeMorris4NYS,"@SquarePegDem @NYDailyNews @NYSenate @SenGianaris @AndreaSCousins @SenFlanagan Right, that was my point.",dem
Fri Nov 02 17:49:13 +0000 2018,NYCRTweets,"NYC! SquarePegDem : BlakeMorris4NYS NYDailyNews NYSenate SenGianaris AndreaSCousins SenFlanagan Gianaris vs Young,… https://t.co/OH60FI50wG",dem
Fri Nov 02 17:48:57 +0000 2018,SquarePegDem,"@BlakeMorris4NYS @NYDailyNews @NYSenate @SenGianaris @AndreaSCousins @SenFlanagan Gianaris vs Young, fine. Gianaris… https://t.co/E4fgN43xws",dem
Fri Nov 02 17:48:23 +0000 2018,HannonSenate,"I invite you to sit down, on-on-one with a pharmacist, to discuss your Medicare Part D prescription drug coverage &amp;… https://t.co/DIlL5rATQx",dem
Fri Nov 02 17:46:10 +0000 2018,BlakeMorris4NYS,@SquarePegDem @NYDailyNews @NYSenate @SenGianaris @AndreaSCousins @SenFlanagan Gianaris chairs the Senate Democrats… https://t.co/oulSniUhsG,dem
Fri Nov 02 17:43:05 +0000 2018,farktal,Prior to the start of his state senate campaign I actually liked Bob Antonacci. The vile nature of his campaign mai… https://t.co/AlJHACDuYu,dem
Fri Nov 02 17:12:59 +0000 2018,SquarePegDem,@bbellafiore @NYDailyNews @NYSenate @SenGianaris @AndreaSCousins @SenFlanagan You have African Americans… https://t.co/nWLSwB0TJ0,dem
Fri Nov 02 17:12:49 +0000 2018,PPESVotesPAC,Two Syracuse candidates push to save Roe v. Wade abortion rights. John Mannion and Rachel May stand up for women's… https://t.co/0iUe0jcN1v,dem
Fri Nov 02 17:02:50 +0000 2018,SquarePegDem,"RT @bbellafiore: @SquarePegDem @NYDailyNews @NYSenate @SenGianaris @AndreaSCousins @SenFlanagan Yes, hard to figure out! It’s like @AndreaS…",dem
Fri Nov 02 17:00:01 +0000 2018,TUCapCon,The @TimesUnion's @BethanyBump turns the tables on @poozer87 and asks him about the  race to replace Republican Kat… https://t.co/wc8sTbIj83,dem
Fri Nov 02 16:53:44 +0000 2018,Patriciamerrif2,RT @mannionfor50: Central New Yorkers are sick of the negative ads filling up our tv screens. Someone should've let Jen &amp; the kids know bef…,dem
Fri Nov 02 16:45:34 +0000 2018,epngo,RT @YanceyRoy: .@gormleyalbany breaks down the #nysenate races to watch as Republicans try to hold on to their 32-31 advantage.  https://t.…,rep
Fri Nov 02 16:44:26 +0000 2018,YanceyRoy,.@gormleyalbany breaks down the #nysenate races to watch as Republicans try to hold on to their 32-31 advantage.… https://t.co/L1ut3oEURQ,rep
Fri Nov 02 16:22:23 +0000 2018,ArbyDiane,@LibertarianSome @marcmolinaro @NYGovCuomo @CNN @SenSchumer @SenGillibrand @POTUS @SenateGOP @HouseGOP @FoxNews… https://t.co/qNPVSlclI8,ind
Fri Nov 02 16:14:31 +0000 2018,matthew_cain,Hey New Yorkers: Polls are open 6 am to 9 pm Tuesday. When are you going to go vote? Your employer must give you tw… https://t.co/vD36CfUMH9,ind
Fri Nov 02 16:08:15 +0000 2018,Samia_Selene,Here’s a helpful link for my #newyork ppl https://t.co/ak3WwcDtqf,ind
Fri Nov 02 16:00:00 +0000 2018,TUCapCon,The @syracusedotcom's @JamesTMulder examines the race to replace @JohnDeFrancisco in the #NYSenate. https://t.co/lcXla93XtU,dem
