Date,ID,Tweet,Party
Thu Nov 01 21:58:16 +0000 2018,DemsWork4USA,"🔁#Election2018 #NewYork CD24 #WinBlue

Support DANA BALTER #NY24, &amp; @DemsWork4USA
👉https://t.co/5EhIbtRRxt

Stop Ka… https://t.co/P7dHwWhI6E",dem
Fri Nov 02 20:26:41 +0000 2018,jennyrazakason1,"RT @Voromahery2018: #VAVATENINA
“Na inona toerana misy anao eo amin’ny fiaraha-monina dia mila anao aho. Tsy ho tanisaiko intsony ny zavabi…",ind
Fri Nov 02 20:26:31 +0000 2018,jennyrazakason1,"RT @Voromahery2018: #SOANIERANA_IVONGO
« Sahy manatrika anao satria fantatro fa niasa aho ary mbola hanoy ny asa.” Hoy ny kandida #Numéro12…",ind
Fri Nov 02 20:23:00 +0000 2018,jennyrazakason1,RT @Voromahery2018: Fitsidihana an'i #Mananjary no namarana ny androany ho an'ny kandida #Numéro12 Hery #Rajaonarimampianina. Mbola vonona…,ind
Fri Nov 02 19:17:30 +0000 2018,OsborneNY,RT @lac_news: NYers! #KnowYourRights! LAC's #Voting &amp; #CriminalRecords brochure discusses NY Governor’s new “#VotingRestorationPardons” ena…,ind
Fri Nov 02 18:21:55 +0000 2018,kateetejada,It’s The Amazing Race: Election Edition! Can anyone help a Philly voter get their absentee ballot here from NY like… https://t.co/ptRTClucS6,ind
Fri Nov 02 18:01:12 +0000 2018,LehmanCollege,"For the first time, @CunyTv will present a LIVE two-hour election night broadcast on Nov 6 with an emphasis on how… https://t.co/QJLILrmt1I",ind
Fri Nov 02 17:40:51 +0000 2018,lac_news,NYers! #KnowYourRights! LAC's #Voting &amp; #CriminalRecords brochure discusses NY Governor’s new “… https://t.co/Lu2uJu87nK,ind
Fri Nov 02 14:54:28 +0000 2018,Voromahery2018,"#VAVATENINA
“Na inona toerana misy anao eo amin’ny fiaraha-monina dia mila anao aho. Tsy ho tanisaiko intsony ny za… https://t.co/eOL7EOjKjD",ind
Fri Nov 02 14:48:04 +0000 2018,hamiga,"Why Young People Don't Vote  🗳️
https://t.co/zaWP7CHpBt via @NYMag 

Drew (21, CA): The Democrats don't stand for a… https://t.co/buRd6e82c2",dem
Fri Nov 02 14:47:28 +0000 2018,Voromahery2018,"#SOANIERANA_IVONGO
« Sahy manatrika anao satria fantatro fa niasa aho ary mbola hanoy ny asa.” Hoy ny kandida… https://t.co/VM2XdWb65h",ind
Fri Nov 02 13:57:33 +0000 2018,CWADistrict1,"RT @BrotherCooper89: Y'all out there been seeing what @CWADistrict1 is doing this #Election2018? I mean, really, y'all seeing this?! These…",ind
Fri Nov 02 13:52:06 +0000 2018,BrotherCooper89,"Y'all out there been seeing what @CWADistrict1 is doing this #Election2018? I mean, really, y'all seeing this?! The… https://t.co/tdxXkNtTKB",ind
Fri Nov 02 06:30:42 +0000 2018,mg_eric,"Diniho anie hoe ny any amin'ny fokontany aza miteny hoe aza matoky CENI izany fa ""verifie""-o ato amin'ny liste ato… https://t.co/3VwoLKAt6J",ind
Fri Nov 02 04:20:00 +0000 2018,SassyGma6,"RT @SuMoh7: RT! #Election2018 #NY-22 CD #WinBlue 

Support ANTHONY BRINDISI #NY22, &amp; @DemsWork4USA
👉https://t.co/mgR1vIJSGH

Defeat Claudia…",dem
Thu Nov 01 23:42:57 +0000 2018,BillforNY24,"Thank you @LWVNYS for helping educate #NY on our choices for Governor! Watch it if you haven’t, and then be an info… https://t.co/10zOIZPnZA",ind
Thu Nov 01 22:36:42 +0000 2018,tinaolson,RT: #BlueWave - #VoteThemOut - #Election2018 - #NY27 - Collins vs. #NateMcMurray https://t.co/4Gr5IgcO8n,dem
Thu Nov 01 21:47:10 +0000 2018,tinaolson,RT - #Election2018 - #NY11 District - Donovan vs. #MaxRose #VoteThemOut #BlueWave2018 https://t.co/BHoPQCnJBm,dem
Thu Nov 01 21:43:23 +0000 2018,tinaolson,RT #BlueWave #Election2018 - #NY1 #NY01- Zeldin vs. #PerryGershon https://t.co/amd7Fe79pW,dem
Thu Nov 01 21:30:43 +0000 2018,myrabatchelder,"NY State, Vote for Antonio Delgado for US House of Representatives, NY-19! If you know folks in his district, tell… https://t.co/c568fXzhTr",dem
Thu Nov 01 20:30:25 +0000 2018,pressconnects,Listen live at 8 p.m. as @claudiatenney and @ABrindisiNY debate for the last time before #Election2018. The debate… https://t.co/qgMAucluhF,ind
Fri Nov 02 21:27:57 +0000 2018,FystyMama,"RT @votepledges: Pledge no. 75,463 comes from Angela in Broome County, N.Y. #gotv #NY22 #nypolitics https://t.co/FDBzcUqavd",ind
Fri Nov 02 21:27:38 +0000 2018,votepledges,"Pledge no. 75,463 comes from Angela in Broome County, N.Y. #gotv #NY22 #nypolitics https://t.co/FDBzcUqavd",ind
Fri Nov 02 20:56:23 +0000 2018,Krazy_Bhoy_Dave,RT @ny_sharpe: ‘Dangerous Ideas’: Libertarian candidate Larry Sharpe offers real solutions for New York #Sharpe4Gov #aNewNY #SharpeHolliste…,ind
Fri Nov 02 20:27:01 +0000 2018,ny_sharpe,‘Dangerous Ideas’: Libertarian candidate Larry Sharpe offers real solutions for New York #Sharpe4Gov #aNewNY… https://t.co/uCFXhlj8pd,ind
Fri Nov 02 19:36:47 +0000 2018,dierdrelewis,MIPolitics  MNPolitics  MSPolitics  MOPolitics  MOPol  MTPolitics MTNews NEPolitics  nepol  NVPolitics  NHPolitics… https://t.co/fLHoSX6En7,ind
Fri Nov 02 18:51:18 +0000 2018,Liberty_Upstate,RT @ny_sharpe: Vote Sharpe to quell status quo (letter to the editor) @LarrySharpe @achollister #Sharpe4Gov #LarrySharpe #SharpeHollister20…,ind
Fri Nov 02 16:52:48 +0000 2018,votepledges,"Pledge no. 75,419 comes from Melissa in Kings County, N.Y. #gotv #NY08 #nypolitics https://t.co/8iMgcHcSpS",ind
Fri Nov 02 16:26:33 +0000 2018,fdbranella,"RT @SuMoh7: GOP lawmaker Rep. Claudia Tenney caught lying about shootings blames ‘media &amp; liberals’ https://t.co/Fxb7YUye4w
#NY22 #NYpol #N…",rep
Fri Nov 02 15:48:33 +0000 2018,votepledges,"Pledge no. 75,372 comes from Maureen in Erie County, N.Y. #gotv #NY26 #nypolitics https://t.co/FjE8WaVWzY",ind
Fri Nov 02 12:50:22 +0000 2018,votepledges,"Pledge no. 75,369 comes from Theodora in Erie County, N.Y. #gotv #NY26 #nypolitics https://t.co/qKW44C9BES",ind
Fri Nov 02 12:05:02 +0000 2018,SuMoh7,"RT @SuMoh7: #YesWeCan #WinBlue NATE McMURRAY #NY27
Regst
https://t.co/TL8RJb3pVV
https://t.co/YXkiRVul7U
Campus
https://t.co/ROCuVx1QGk
Id…",dem
Fri Nov 02 06:50:06 +0000 2018,nkan25,RT @ny_sharpe: Canvassing with @LarrySharpe at #GrandCentralStation in #NYC! #Sharpe4Gov #aNewNY #NYGov #NYpolitics #NewYorkCity #Manhattan…,ind
Fri Nov 02 05:33:02 +0000 2018,desertroseshell,"RT @SuMoh7: RT! #Election2018 NY22 #WinBlue 

Support ANTHONY BRINDISI #NY22, &amp; @DemsWork4USA
Assemblyman
More👉https://t.co/QQEqoEODeV

Sto…",dem
Fri Nov 02 05:05:17 +0000 2018,FrugalHippo,@NYPolitics_Plow https://t.co/577cymb9NU,ind
Fri Nov 02 03:58:53 +0000 2018,SuMoh7,"RT @SuMoh7: RT! #Election2018 NY22 #WinBlue 

Support ANTHONY BRINDISI #NY22,&amp; @DemsWork4USA
👉https://t.co/mgR1vIJSGH

Stop Claudia Tenney…",dem
Fri Nov 02 03:00:55 +0000 2018,ny_sharpe,Vote Sharpe to quell status quo (letter to the editor) @LarrySharpe @achollister #Sharpe4Gov #LarrySharpe… https://t.co/rLH5byolzC,ind
Fri Nov 02 02:03:32 +0000 2018,votepledges,"Pledge no. 75,351 comes from Thomas in Erie County, N.Y. #gotv #NY26 #nypolitics https://t.co/i6w8qqIXZR",ind
Fri Nov 02 01:46:44 +0000 2018,latinpsycho35,RT @ny_sharpe: Larry Sharpe can win on election day #Sharpe4Gov #SharpeHollister2018 #aNewNY #NYGov #NYpolitics #NYpol #Midterms2018 #GoldR…,ind
Fri Nov 02 00:43:11 +0000 2018,votepledges,"Pledge no. 75,343 comes from Deborah in Kings County, N.Y. #gotv #NY09 #nypolitics https://t.co/G2tziyKAMb",ind
Thu Nov 01 23:49:19 +0000 2018,JayshaPatel,"If you haven’t checked out my story for @ICTVElection on how dairy #tariffs are affecting upstate NY farmers, you c… https://t.co/D0nUhLoJbS",ind
